Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.814931437277806,0.8070362473347548,0.8605532398635847,0.8329359985329177
Logistic Regression,0.8232605383443372,0.8115533638605142,0.8730579765062524,0.8411829134720701
DistilBERT,1.0,1.0,1.0,1.0
