Aspect,Total Reviews,Positive,Negative,Positive %,Avg Rating
Story,8588,5144,3444,59.89753143921751,3.697135537959944
Characters,8889,4831,4058,54.348070649116885,3.4709191135110813
Gacha,5600,2443,3157,43.625,3.196964285714286
Gameplay,7190,4432,2758,61.64116828929068,3.7887343532684286
Graphics,5940,3273,2667,55.101010101010104,3.5747474747474746
